  1,   0,   0,   0,   1,   0,   0,   0,   0,   0,
   0,   2,   2,   1,   0,   0,   0,   0,   0,   0,
   1,   3,   2,   2,   4,   2,   0,   0,   0,   0,
   0,   1,   6,   8,   6,   3,   1,   0,   0,   0,
   0,   0,   3,   6,  10,   3,   0,   0,   0,   0,
   0,   0,   1,   3,   7,   4,   1,   1,   0,   0,
   0,   0,   1,   1,   1,   0,   0,   0,   0,   0,
   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,

 
 0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
  0,  0,  0,  1,  0,  4,  2,  1,  0,  0,
  0,  0,  1,  0,  1,  4,  7,  2,  0,  0,
  0,  0,  0,  0,  2,  4,  8,  4,  1,  0,
  0,  0,  0,  0,  4,  2,  5,  4,  3,  0,
  0,  0,  0,  0,  1,  2,  1,  1,  9,  0,
  0,  0,  0,  0,  0,  0,  0,  2,  1,  0,
